shortname,fullname,category_path,startdate,enddate,visible
UCB-S22526-CC-APPSDEV22-70654,Applications Dev't & Emerging Tech.,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-DASTRUC22-21696,Data Structures & Algorithms,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-DATACOM22-85332,Data Communications,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-PE104-17734,"Sports, Outdoor and Adventure (PATHFit 4)",UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S12526-IT-IMDBSYS31-26136,Information Management (DB Sys.1),UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-NETWORK31-14629,Computer Networks,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-TESTQUA31-06494,Testing & Quality Assurance,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-HCI31-82146,Human Computer Interaction,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-RESCOM31-47392,Methods of Research in Computing,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-EL-32016,IT Elective 1,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-FRE-22933,Free Elective 1,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-FRE-62530,Free Elective 2,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S22526-IT-IMDBSYS32-94904,Information Management (DB Sys. 2),UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-INFOSEC32-26359,Information Assurance & Security,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-SYSARCH32-70522,Systems Integration & Architecture,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-TECHNO32-96545,Technopreneurship,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-INTPROG32-07971,Integrative Prog'g & Technologies,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-SYSADMN32-43883,Systems Administration & Maintenance,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-EL-77298,IT Elective 2,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-FRE-94283,Free Elective 3,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S12526-LIT101-11932,Literatures of the World,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-CPSTONE41-78433,Capstone Project 1,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-PROFIS10-79949,Professional Issues in Computing,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-EL-74604,IT Elective 3,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S22526-CC-PRACT40-52362,Practicum,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-CPSTONE42-90853,Capstone Project 2,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S02526-ELPHP1-57399,PHP Programming Module 1,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELPHP2-65336,PHP Programming Module 2,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELDNET1-14521,.NET Programming Module 1,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELDNET2-05234,.NET Programming Module 2,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELDROID1-71182,ANDROID Programming Module 1,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELDROID2-99835,ANDROID Programming Module 2,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELCCNA1-17038,"Enterprise Networking, Security and Automation",UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELCCNA2-72238,Infrastructure Automation,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELEMSYS-50721,Embedded Systems & IoT,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELAI-24958,Fundamentals of Artificial Intelligence,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELASI-88538,ASI-UC Jumpstart Program,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELBIZAN1-10468,Business Analytics Module 1,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELBIZAN2-35559,Business Analytics Module 2,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-ELPYTHON-81378,Python Programming,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREDTHINK-31703,Principles of Design Thinking,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREFORLAN-72681,Foreign Language,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREIP-15022,Introduction to Intellectual Property,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FRETRNDS-67385,Emerging Technologies in ICT,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREPM-74128,Introduction to Project Management,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FRECIS-85472,Cloud Infrastructure Services,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREISM-08864,Information Storage Management,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREDX-02544,Introduction to Digital Transformation,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FRELEAN-59761,Lean Startup Methodology,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FREKYI-50356,Know-Your-Industry/Corporate Readiness,UCB / S02526 / CCS / BSIT,,,1
UCB-S02526-FRECERT-48040,Professional Certifications Review,UCB / S02526 / CCS / BSIT,,,1
